SaleID,Date,ProductID,CustomerID,Region,Quantity,Price
1,15-11-2024,P113,C2369,East,1,404.46
2,21-10-2024,P127,C3294,North,8,390.02
3,05-12-2024,P131,C0536,South,5,317.55
4,22-12-2024,P137,C4478,North,9,293.47
5,08-07-2025,P147,C0024,West,8,425
6,26-01-2025,P110,C0794,East,2,249.28
7,28-01-2025,P127,C4236,North,4,427.88
8,07-02-2025,P140,C1514,West,7,476.23
9,23-11-2024,P135,C3459,South,10,228.12
10,23-08-2025,P140,C4502,West,5,468.64
11,15-06-2025,P125,C4647,East,2,197.3
12,11-09-2025,P138,C2140,East,1,99.79
13,27-12-2024,P140,C1105,South,1,430.17
14,03-09-2025,P150,C3914,East,4,363.65
15,20-09-2025,P125,C0365,East,2,81.67
16,29-04-2025,P106,C3461,North,4,424.64
17,24-01-2025,P135,C4549,West,4,239.56
18,09-08-2025,P116,C3366,South,2,281.6
19,27-11-2024,P117,C2685,East,10,75.12
20,28-03-2025,P132,C0063,North,1,317.35
21,31-01-2025,P142,C4690,East,3,184.42
22,09-02-2025,P138,C2050,South,1,181.99
23,07-03-2025,P125,C3073,East,9,326.03
24,17-08-2025,P128,C4076,West,1,197.09
25,07-08-2025,P128,C2148,South,1,419.09
26,24-03-2025,P120,C2579,West,6,270.51
27,13-02-2025,P129,C2785,North,10,252.78
28,09-10-2024,P120,C2613,South,4,401.57
29,25-02-2025,P139,C0237,West,3,159.13
30,12-04-2025,P124,C2115,West,7,402.48
31,10-02-2025,P141,C1510,West,6,365.27
32,21-07-2025,P104,C0889,West,6,321.64
33,28-07-2025,P123,C1876,North,1,362.66
34,26-09-2025,P144,C3486,South,3,103.29
35,15-02-2025,P110,C2410,South,8,242.68
36,01-06-2025,P131,C3883,East,7,110.45
37,06-10-2024,P121,C0552,West,1,96.65
38,31-05-2025,P112,C2302,North,2,217.63
39,14-07-2025,P133,C2058,West,1,52.75
40,07-06-2025,P135,C0123,North,8,314.96
41,23-10-2024,P126,C3942,West,9,107.53
42,31-08-2025,P106,C1417,East,8,468.83
43,19-03-2025,P101,C2239,West,3,497.4
44,24-07-2025,P127,C2156,South,7,84.26
45,21-07-2025,P147,C0909,South,1,141.75
46,05-05-2025,P117,C1875,West,6,152.59
47,19-05-2025,P123,C4823,West,9,71.64
48,12-02-2025,P136,C2871,South,6,492.53
49,04-02-2025,P133,C1433,East,3,105.53
50,08-02-2025,P136,C1906,East,5,212.91
51,03-10-2024,P149,C2199,North,1,354.12
52,14-12-2024,P128,C2085,East,6,178.34
53,12-02-2025,P130,C2774,South,4,430.48
54,24-01-2025,P105,C0913,South,4,119.37
55,18-04-2025,P146,C3666,East,9,326.65
56,19-05-2025,P148,C4025,North,8,247.27
57,25-10-2024,P150,C3262,South,4,349.02
58,23-07-2025,P142,C1363,West,3,63.82
59,06-01-2025,P136,C4415,West,3,418.84
60,24-04-2025,P131,C2897,North,9,77.35
61,16-12-2024,P105,C4971,West,4,422.02
62,08-08-2025,P117,C2695,South,1,223.98
63,27-10-2024,P115,C2663,South,5,330.86
64,28-05-2025,P115,C2712,South,5,55.32
65,02-01-2025,P145,C0851,North,7,248.24
66,09-03-2025,P133,C2348,North,7,205.4
67,21-10-2024,P112,C2285,East,5,462.56
68,14-07-2025,P124,C2144,East,7,74.07
69,12-07-2025,P135,C1723,East,2,263.8
70,25-09-2025,P140,C1782,West,9,98.22
71,14-11-2024,P142,C2626,South,10,105.5
72,06-03-2025,P135,C3740,East,9,380.9
73,24-11-2024,P140,C4653,West,10,287.46
74,10-03-2025,P150,C1270,North,5,496.94
75,05-10-2024,P121,C3943,South,8,97.09
76,07-12-2024,P129,C1127,East,7,154.65
77,08-04-2025,P106,C4901,West,5,128.76
78,08-11-2024,P109,C1669,South,10,252.29
79,02-04-2025,P134,C1929,South,10,406.56
80,09-02-2025,P110,C0924,West,1,226.35
81,05-05-2025,P111,C4642,South,3,282.69
82,06-09-2025,P133,C0405,South,3,115.57
83,17-06-2025,P103,C0959,North,3,153.51
84,08-02-2025,P101,C0134,North,9,223.67
85,15-08-2025,P128,C3109,North,1,459.52
86,22-02-2025,P133,C4890,West,7,104.77
87,03-07-2025,P136,C0685,East,4,217.7
88,15-07-2025,P106,C2366,North,4,453.98
89,19-07-2025,P119,C2616,South,2,315.33
90,05-07-2025,P149,C0389,West,5,239.51
91,06-07-2025,P149,C4509,South,4,191.69
92,24-09-2025,P127,C4823,East,2,65.69
93,10-03-2025,P113,C0139,West,7,462.2
94,04-12-2024,P101,C3032,East,6,478.62
95,18-09-2025,P138,C3107,West,2,199.13
96,22-12-2024,P145,C0378,West,7,487.6
97,11-01-2025,P143,C3195,West,5,91.41
98,17-03-2025,P101,C3220,East,5,440.38
99,27-01-2025,P146,C0740,South,5,50.71
100,28-02-2025,P129,C4438,East,2,229.47
101,08-01-2025,P138,C2203,West,1,285.26
102,26-04-2025,P101,C3009,South,7,238.86
103,08-09-2025,P113,C2411,South,7,290.43
104,01-11-2024,P137,C4626,West,3,224.79
105,19-10-2024,P130,C0127,South,9,245.05
106,14-11-2024,P136,C4261,North,8,288.11
107,02-09-2025,P144,C3976,North,6,63.79
108,31-08-2025,P138,C3513,South,6,254.09
109,05-09-2025,P105,C4665,West,7,60.52
110,06-04-2025,P139,C1940,South,1,474.47
111,30-12-2024,P109,C3536,East,8,432.17
112,26-04-2025,P141,C4277,South,7,56.61
113,30-09-2024,P106,C4533,North,10,215.84
